15,CA-2015-105417,07-01-2015,12-01-2015,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Furniture,Furnishings,"\Howard Miller 14-1/2\""\"" Diameter Chrome Round Wall Clock\""""",76.728,2015,,,,,,,,
16,CA-2015-105417,07-01-2015,12-01-2015,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1\\""""",10.43,2015,,,,,,,,
17,CA-2015-135405,09-01-2015,13-01-2015,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344,2015,,,,,,,,
18,CA-2015-135405,09-01-2015,13-01-2015,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,2015,,,,,,,,
19,CA-2015-149020,10-01-2015,15-01-2015,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,2015,,,,,,,,
20,CA-2015-149020,10-01-2015,15-01-2015,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,"\Howard Miller 11-1/2\""\"" Diameter Ridgewood Wall Clock\""""",51.94,2015,,,,,,,,
21,CA-2015-130092,11-01-2015,14-01-2015,First Class,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2015,,,,,,,,
22,CA-2015-162775,13-01-2015,15-01-2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,2015,,,,,,,,
23,CA-2015-162775,13-01-2015,15-01-2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,2015,,,,,,,,
24,CA-2015-162775,13-01-2015,15-01-2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,2015,,,,,,,,
25,CA-2015-162775,13-01-2015,15-01-2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,2015,,,,,,,,
26,CA-2015-162775,13-01-2015,15-01-2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,2015,,,,,,,,
27,CA-2015-109232,13-01-2015,16-01-2015,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,2015,,,,,,,,
28,CA-2015-157147,13-01-2015,18-01-2015,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,2015,,,,,,,,
29,CA-2015-157147,13-01-2015,18-01-2015,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,2015,,,,,,,,
30,CA-2015-157147,13-01-2015,18-01-2015,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,2015,,,,,,,,
31,CA-2015-118192,13-01-2015,18-01-2015,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37.408,2015,,,,,,,,
32,CA-2015-118192,13-01-2015,18-01-2015,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.438,2015,,,,,,,,
33,CA-2015-149524,14-01-2015,15-01-2015,First Class,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,2015,,,,,,,,
34,CA-2015-103366,15-01-2015,17-01-2015,First Class,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,30076,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,2015,,,,,,,,
35,CA-2015-115791,16-01-2015,18-01-2015,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.104,2015,,,,,,,,
36,CA-2015-115791,16-01-2015,18-01-2015,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124.2,2015,,,,,,,,
37,CA-2015-115791,16-01-2015,18-01-2015,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,18.588,2015,,,,,,,,
38,CA-2015-115791,16-01-2015,18-01-2015,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.072,2015,,,,,,,,
39,CA-2015-123477,18-01-2015,21-01-2015,Second Class,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,2015,,,,,,,,
40,CA-2015-146591,19-01-2015,20-01-2015,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,2015,,,,,,,,
41,CA-2015-146591,19-01-2015,20-01-2015,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.064,2015,,,,,,,,
42,CA-2015-146591,19-01-2015,20-01-2015,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,2015,,,,,,,,
43,CA-2015-146591,19-01-2015,20-01-2015,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,2015,,,,,,,,
44,US-2015-147627,20-01-2015,26-01-2015,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,699.93,2015,,,,,,,,
45,US-2015-147627,20-01-2015,26-01-2015,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,22.96,2015,,,,,,,,
46,US-2015-147627,20-01-2015,26-01-2015,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,2015,,,,,,,,
47,US-2015-147627,20-01-2015,26-01-2015,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,2015,,,,,,,,
48,US-2015-147627,20-01-2015,26-01-2015,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,23.34,2015,,,,,,,,
49,US-2015-147627,20-01-2015,26-01-2015,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,2015,,,,,,,,
50,CA-2015-148614,20-01-2015,25-01-2015,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,OFF-PA-10002893,Office Supplies,Paper,\Wirebound Service Call Books," 5 1/2\""\"" x 4\""\""\""""",19.36,2015,,,,,,,
51,CA-2015-148614,20-01-2015,25-01-2015,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049,West,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2015,,,,,,,,
52,CA-2015-167927,20-01-2015,26-01-2015,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,2015,,,,,,,,
53,CA-2015-167927,20-01-2015,26-01-2015,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,2015,,,,,,,,
54,CA-2015-167927,20-01-2015,26-01-2015,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10000605,Office Supplies,Binders,\Acco Pressboard Covers with Storage Hooks," 9 1/2\""\"" x 11\""\""""","Executive Red\"",2015
55,CA-2015-167927,2015-01-20,2015-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner", Very Large Room," HEPA Filter""",247.716,2015,,,,
56,CA-2015-167927,20-01-2015,26-01-2015,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2015,,,,,,,,
57,CA-2015-167927,20-01-2015,26-01-2015,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,2015,,,,,,,,
58,CA-2015-167927,20-01-2015,26-01-2015,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,14.73,2015,,,,,,,,
59,CA-2015-167927,20-01-2015,26-01-2015,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,29.7,2015,,,,,,,,
60,US-2015-147774,20-01-2015,26-01-2015,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Smyrna,Tennessee,37167,South,OFF-BI-10003091,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.194,2015,,,,,,,,
61,CA-2015-102645,23-01-2015,28-01-2015,Standard Class,IM-15055,Ionia McGrath,Consumer,United States,Las Vegas,Nevada,89115,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,40.08,2015,,,,,,,,
62,US-2015-155502,26-01-2015,31-01-2015,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10004587,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,2015,,,,,,,,
63,US-2015-155502,26-01-2015,31-01-2015,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-ST-10004337,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",489.92,2015,,,,,,,,
64,US-2015-155502,26-01-2015,31-01-2015,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10003072,Office Supplies,Paper,"\Eureka Recycled Copy Paper 8 1/2\""\"" x 11\""\""""","Ream\"",2015
65,US-2015-155502,2015-01-26,2015-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10000380,Office Supplies,Paper,\""REDIFORM Incoming/Outgoing Call Register"," 11\""\"" X 8 1/2\""\""""","100 Messages\"",2015
66,US-2015-155502,2015-01-26,2015-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10004833,Technology,Phones,Macally Suction Cup Mount,155.35,2015
67,US-2015-155502,2015-01-26,2015-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,FUR-FU-10001847,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,2015
68,US-2015-155502,2015-01-26,2015-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,187.98,2015
69,CA-2015-167997,2015-01-26,2015-01-29,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,OFF-BI-10001758,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2015
70,CA-2015-167997,2015-01-26,2015-01-29,First Class,CA-11965,Carol Adams,Corporate,United States,Rapid City,South Dakota,57701,Central,FUR-BO-10004409,Furniture,Bookcases,Safco Value Mate Series Steel Bookcases", Baked Enamel Finish on Steel," Gray""",141.96,2015,,,
71,US-2015-117163,27-01-2015,02-02-2015,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,2015,,,,,,,,
72,US-2015-117163,27-01-2015,02-02-2015,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,333,2015,,,,,,,,
73,US-2015-117163,27-01-2015,02-02-2015,Standard Class,EJ-13720,Ed Jacobs,Consumer,United States,San Diego,California,92037,West,OFF-AR-10003179,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,2015,,,,,,,,
74,CA-2015-100328,28-01-2015,03-02-2015,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,OFF-BI-10000343,Office Supplies,Binders,\Pressboard Covers with Storage Hooks," 9 1/2\""\"" x 11\""\""""","Light Blue\"",2015
75,CA-2015-134103,2015-01-30,2015-02-04,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,10.56,2015
76,CA-2015-134103,2015-01-30,2015-02-04,Standard Class,MV-18190,Mike Vittorini,Consumer,United States,Detroit,Michigan,48234,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2015
77,CA-2015-115161,2015-01-31,2015-02-02,First Class,LC-17050,Liz Carlisle,Consumer,United States,Mission Viejo,California,92691,West,FUR-BO-10003966,Furniture,Bookcases,Sauder Facets Collection Library"," Sky Alder Finish""",290.666,2015,,,,,
78,CA-2015-140795,01-02-2015,03-02-2015,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,2015,,,,,,,,
79,CA-2015-139857,02-02-2015,06-02-2015,Standard Class,CD-12790,Cynthia Delaney,Home Office,United States,San Diego,California,92037,West,OFF-FA-10001843,Office Supplies,Fasteners,Staples,12.35,2015,,,,,,,,
80,CA-2015-123400,02-02-2015,09-02-2015,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,18.336,2015,,,,,,,,
81,CA-2015-123400,02-02-2015,09-02-2015,Standard Class,EB-13930,Eric Barreto,Consumer,United States,Saint Petersburg,Florida,33710,South,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,2015,,,,,,,,
82,CA-2015-111059,03-02-2015,06-02-2015,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2015,,,,,,,,
83,CA-2015-111059,03-02-2015,06-02-2015,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98105,West,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,13.272,2015,,,,,,,,
84,CA-2015-107181,04-02-2015,08-02-2015,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-BI-10004230,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.896,2015,,,,,,,,
85,CA-2015-107181,04-02-2015,08-02-2015,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,San Diego,California,92024,West,OFF-PA-10000350,Office Supplies,Paper,\Message Book," Standard Line \""\""While You Were Out\""\""""","5 1/2\\"" X 4\""\""""",2015,,,,,,,
86,CA-2015-104808,04-02-2015,08-02-2015,Second Class,MH-17440,Mark Haberlin,Corporate,United States,Escondido,California,92025,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.248,2015,,,,,,,,
87,CA-2015-131905,06-02-2015,09-02-2015,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,OFF-LA-10002787,Office Supplies,Labels,Avery 480,15,2015,,,,,,,,
88,CA-2015-131905,06-02-2015,09-02-2015,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10003645,Technology,Phones,Aastra 57i VoIP phone,161.61,2015,,,,,,,,
89,CA-2015-131905,06-02-2015,09-02-2015,First Class,ND-18460,Neil Ducich,Corporate,United States,Chesapeake,Virginia,23320,South,TEC-PH-10001615,Technology,Phones,AT&T CL82213,144.95,2015,,,,,,,,
90,CA-2015-108182,06-02-2015,10-02-2015,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Romeoville,Illinois,60441,Central,OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.952,2015,,,,,,,,
91,CA-2015-107755,07-02-2015,12-02-2015,Standard Class,CK-12760,Cyma Kinney,Corporate,United States,Linden,New Jersey,7036,East,TEC-AC-10000710,Technology,Accessories,Maxell DVD-RAM Discs,115.36,2015,,,,,,,,
92,US-2015-169390,07-02-2015,10-02-2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,New York City,New York,10024,East,OFF-ST-10001558,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,2015,,,,,,,,
93,CA-2015-125759,08-02-2015,09-02-2015,First Class,NM-18445,Nathan Mautz,Home Office,United States,North Las Vegas,Nevada,89031,West,FUR-FU-10002111,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",14.56,2015,,,,,,,,
94,CA-2015-127614,11-02-2015,15-02-2015,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,23320,South,TEC-AC-10001432,Technology,Accessories,Enermax Aurora Lite Keyboard,234.45,2015,,,,,,,,
95,CA-2015-127614,11-02-2015,15-02-2015,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,23320,South,FUR-TA-10003715,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,2015,,,,,,,,
96,CA-2015-127614,11-02-2015,15-02-2015,Standard Class,NF-18385,Natalie Fritzler,Consumer,United States,Chesapeake,Virginia,23320,South,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2015,,,,,,,,
97,CA-2015-168368,11-02-2015,15-02-2015,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60.89,2015,,,,,,,,
98,CA-2015-168368,11-02-2015,15-02-2015,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-LA-10004853,Office Supplies,Labels,Avery 483,14.94,2015,,,,,,,,
99,CA-2015-168368,11-02-2015,15-02-2015,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2015,,,,,,,,
100,CA-2015-168368,11-02-2015,15-02-2015,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,FUR-FU-10002298,Furniture,Furnishings,\Rubbermaid ClusterMat Chairmats," Mat Size- 66\""\"" x 60\""\""""","Lip 20\\"" x 11\""\"" -90 Degree Angle\""""",2015,,,,,,,
101,CA-2015-168368,11-02-2015,15-02-2015,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-BI-10004654,Office Supplies,Binders,VariCap6 Expandable Binder,51.9,2015,,,,,,,,
102,CA-2015-168368,11-02-2015,15-02-2015,Second Class,GA-14725,Guy Armstrong,Consumer,United States,Columbia,Missouri,65203,Central,OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,2015,,,,,,,,
103,US-2015-110674,12-02-2015,18-02-2015,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Concord,California,94521,West,FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.568,2015,,,,,,,,
104,CA-2015-107706,14-02-2015,19-02-2015,Second Class,ST-20530,Shui Tom,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000466,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",16.176,2015,,,,,,,,
105,CA-2015-121762,14-02-2015,18-02-2015,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Seattle,Washington,98103,West,TEC-AC-10000736,Technology,Accessories,Logitech G600 MMO Gaming Mouse,239.97,2015,,,,,,,,
106,CA-2015-121762,14-02-2015,18-02-2015,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Seattle,Washington,98103,West,OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,81.96,2015,,,,,,,,
107,CA-2015-121762,14-02-2015,18-02-2015,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Seattle,Washington,98103,West,OFF-SU-10000157,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,238.62,2015,,,,,,,,
108,CA-2015-165568,15-02-2015,19-02-2015,Standard Class,BF-11020,Barry Französisch,Corporate,United States,Seattle,Washington,98105,West,OFF-BI-10001031,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,21.36,2015,,,,,,,,
109,CA-2015-122567,16-02-2015,21-02-2015,Standard Class,MN-17935,Michael Nguyen,Consumer,United States,Dallas,Texas,75220,Central,OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,2015,,,,,,,,
110,CA-2015-122567,16-02-2015,21-02-2015,Standard Class,MN-17935,Michael Nguyen,Consumer,United States,Dallas,Texas,75220,Central,OFF-AP-10001303,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.96,2015,,,,,,,,
